Author,Year,Country,EffiX,VE_any,VE_severe,VE_hosp,Incomplete VE_1 dose_any RVGE,Incomplete VE_1 dose_Severe RVGE,Incomplete VE_1 dose_hospitalization,Incomplete VE_2 dose_hospitalization,Age range,Any<12mo,Severe<12mo,Hosp <12mo,Any12-24mo,Severe12-24mo,Hosp12-24mo,Any>24mo,Severe>24mo,Hosp>24mo,RV incidence rate_any /100 infant,RV incidence rate_severe /100 infant,RV incidence rate_hospitalization /100 infant,Population density,U5 mortality rate,Crude birth rate,GDP per capita,% of population using safely managed drinking water,% of population using safely managed sanitation,Prevalence of undernourishment,Prevalence of HIV,Gini index,Progression to secondary school(female%),% of population living in extreme poverty (<$2/day),Income share held by lowest 20%,Urban population (% of total)
,,Bangladesh ,1,33.9,42.5,,,,,,,51.2,58.9,,,,,,,,10.9,5.3,,,,,,,,,,,,,,
,, Vietnam,1,33.9,42.5,,,,,,,51.2,58.9,,,,,,,,10.9,5.3,,,,,,,,,,,,,,
Iwata,2013,Japan,1,74.5,100,,,,,,6-12 weeks,,,,,,,,,,,,,351.3,3.4,8.7,39339.3,98,98.5,2.5,NULL,34.8,100,0.5,8.4,89.1
Mo,2017,China,1,69.3,78.9,,,,,,6–12 weeks,,,,,,,,,,,,,144.8,11.6,12.1,7678.6,NULL,60.9,2.5,NULL,39.2,NULL,1.4,6.2,54.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV1 Effectiveness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de Palma,2010,El Salvador,0,,73,76,,36,51,,,,79,83,,58,59,,,,,,,295.9,21.2,20.2,2933.4,NULL,NULL,10,0.7,46.9,96.1,7,4.6,63.7
Correia,2010,Brazil,0,, , ,,,,,6-33 months,,73,81,,-51,5,,,,,,,22.748,21.8,16.3,7348,NULL,29.5,2.8,0.5,54.9,NULL,6.7,3,83.4
,,Brazil,0,,,,,,,,,,37,80,,-1,41,,,,,,,,,,,,,,,,,,,
Justino,2011,Brazil,0,,78.8,75.8,,,,62,,95.7,,,,,65.1,,,,,,,22.975,20.6,15.9,8831,NULL,31.2,2.5,0.5,54,NULL,5.5,3.2,83.7
